x,y,u,v,T,p
0,0.05,10,0,300,145.542
0.0204082,0.05,10.2645,1.4692E-09,300,143.127
0.0408163,0.05,10.8635,1.70173E-09,300,137.124
0.0612245,0.05,11.4981,1.92227E-10,300.001,130.284
0.0816327,0.05,12.0408,-1.34564E-09,300.001,124.025
0.102041,0.05,12.4784,-3.16867E-09,300.002,118.591
0.122449,0.05,12.8229,-3.35903E-09,300.003,113.945
0.142857,0.05,13.0987,-4.80203E-09,300.005,109.863
0.163265,0.05,13.3256,-2.88904E-09,300.006,106.147
0.183673,0.05,13.516,-4.61769E-09,300.007,102.676
0.204082,0.05,13.6779,-6.74482E-10,300.009,99.3789
0.22449,0.05,13.8167,-8.61061E-10,300.01,96.2144
0.244898,0.05,13.936,3.04991E-09,300.012,93.1568
0.265306,0.05,14.0389,7.70669E-09,300.014,90.1883
0.285714,0.05,14.1277,1.66612E-09,300.016,87.2957
0.306122,0.05,14.2044,2.15723E-08,300.018,84.4681
0.326531,0.05,14.2708,-1.03751E-08,300.021,81.6965
0.346939,0.05,14.3282,3.93197E-08,300.023,78.9733
0.367347,0.05,14.378,-3.74096E-08,300.026,76.292
0.387755,0.05,14.4211,5.95377E-08,300.029,73.647
0.408163,0.05,14.4585,-7.45896E-08,300.032,71.0336
0.428571,0.05,14.491,7.38008E-08,300.035,68.4476
0.44898,0.05,14.5191,-1.12652E-07,300.038,65.8855
0.469388,0.05,14.5436,7.14521E-08,300.042,63.3442
0.489796,0.05,14.5648,-1.20824E-07,300.046,60.821
0.510204,0.05,14.5832,6.16371E-08,300.05,58.3137
0.530612,0.05,14.5992,-9.14967E-08,300.055,55.8202
0.55102,0.05,14.6131,3.99101E-08,300.06,53.3386
0.571429,0.05,14.6252,-3.21938E-08,300.065,50.8674
0.591837,0.05,14.6357,3.1116E-08,300.07,48.4052
0.612245,0.05,14.6448,3.7961E-08,300.076,45.951
0.632653,0.05,14.6528,2.6442E-08,300.082,43.5037
0.653061,0.05,14.6597,8.19279E-08,300.088,41.0623
0.673469,0.05,14.6657,2.66888E-08,300.094,38.6262
0.693878,0.05,14.6709,9.86434E-08,300.101,36.1946
0.714286,0.05,14.6755,-6.85864E-09,300.109,33.767
0.734694,0.05,14.6794,5.83809E-08,300.116,31.3429
0.755102,0.05,14.6829,-4.89626E-08,300.124,28.9217
0.77551,0.05,14.6859,2.19542E-08,300.133,26.5032
0.795918,0.05,14.6885,-7.81805E-08,300.141,24.0869
0.816327,0.05,14.6907,-3.08174E-08,300.15,21.6727
0.836735,0.05,14.6927,-1.21827E-07,300.16,19.2601
0.857143,0.05,14.6944,-9.22098E-08,300.17,16.8491
0.877551,0.05,14.6959,-1.32092E-07,300.18,14.4394
0.897959,0.05,14.6972,-8.31122E-08,300.191,12.0308
0.918367,0.05,14.6983,-4.1261E-08,300.202,9.62315
0.938776,0.05,14.6993,3.68128E-08,300.213,7.21641
0.959184,0.05,14.7002,9.50265E-08,300.225,4.8104
0.979592,0.05,14.7009,1.08333E-07,300.237,2.40502
1,0.05,14.7016,1.00022E-07,300.246,0
0.5,0,0,0,317.812,59.5487
0.5,0.0111111,5.8165,0.00398,308.317,59.5518
0.5,0.0222222,10.1171,0.00955,302.772,59.5568
0.5,0.0333333,12.9122,0.0113,300.706,59.5612
0.5,0.0444444,14.2711,0.0051,300.149,59.5645
0.5,0.0555556,14.2711,-0.0051,300.026,59.5645
0.5,0.0666667,12.9122,-0.0113,300.004,59.5612
0.5,0.0777778,10.1171,-0.00955,300,59.5568
0.5,0.0888889,5.8165,-0.00398,300,59.5518
0.5,0.1,0,-4.7E-18,300,59.5487
