x,y,u,v,p,T
0,0,10,0,,
0,0.01,10,0,,
0,0.02,10,0,,
0,0.03,10,0,,
0,0.04,10,0,,
0,0.05,10,0,,
0,0.06,10,0,,
0,0.07,10,0,,
0,0.08,10,0,,
0,0.09,10,0,,
0,0.1,10,0,,
0.05,0,0,0,,
0.1,0,0,0,,
0.15,0,0,0,,
0.2,0,0,0,,
0.25,0,0,0,,
0.3,0,0,0,,
0.35,0,0,0,,
0.4,0,0,0,,
0.45,0,0,0,,
0.5,0,0,0,,
0.55,0,0,0,,
0.6,0,0,0,,
0.65,0,0,0,,
0.7,0,0,0,,
0.75,0,0,0,,
0.8,0,0,0,,
0.85,0,0,0,,
0.9,0,0,0,,
0.95,0,0,0,,
1,0,0,0,,
0.05,0.1,0,0,,
0.1,0.1,0,0,,
0.15,0.1,0,0,,
0.2,0.1,0,0,,
0.25,0.1,0,0,,
0.3,0.1,0,0,,
0.35,0.1,0,0,,
0.4,0.1,0,0,,
0.45,0.1,0,0,,
0.5,0.1,0,0,,
0.55,0.1,0,0,,
0.6,0.1,0,0,,
0.65,0.1,0,0,,
0.7,0.1,0,0,,
0.75,0.1,0,0,,
0.8,0.1,0,0,,
0.85,0.1,0,0,,
0.9,0.1,0,0,,
0.95,0.1,0,0,,
1,0.1,0,0,,
