x,y,z,U_0,U_1,U_2
0.968139,0.0821508,0.05,8.63858,-0.000305303,0
0.882586,0.0116394,0.05,6.07081,0.000303476,0
0.454148,0.032858,0.05,12.9898,0.0172893,0
0.564516,0.0506217,0.05,14.6213,-0.00044292,0
0.47847,0.022809,0.05,10.3889,0.0118119,0
0.96225,0.0253982,0.05,11.1334,0.000479308,0
0.491862,0.0424879,0.05,14.2602,0.00770206,0
0.726248,0.064503,0.05,13.533,-0.00256845,0
0.970314,0.0519302,0.05,14.6058,-7.29461e-05,0
0.353224,0.0544127,0.05,14.2888,-0.012847,0
0.524925,0.00113492,0.05,0.676325,0.000207705,0
0.596515,0.0190957,0.05,9.12847,0.00422679,0
0.386045,0.0331553,0.05,13.0309,0.0279289,0
0.416581,0.0618769,0.05,13.7672,-0.0188166,0
0.0908771,0.0845654,0.05,9.08888,-0.349187,0
0.141056,0.0608022,0.05,12.9227,-0.136,0
0.0127123,0.0550996,0.05,10.1095,-0.0839341,0
0.147565,0.0176086,0.05,9.53912,0.131659,0
0.2527,0.0800655,0.05,9.76371,-0.053033,0
0.524339,0.0322691,0.05,12.8696,0.0105878,0
